studyStatus,id,title,prefixedId,studyType,abstractText,recruitmentStatus,researchMgmtSet,studySiteSet,clinicalTrialSet,grantSet,fundingSource,keywordSet,labelSet,submissionType,goals,studyStartDate,studyEndDate,numberOfSubjects,doi,fundingAmount
Public,205,Effect of Aerobic Exercise Training on Cardiorespiratory Function in Patients with TBI (CNRM),FITBIR-STUDY0000205,Clinical Trial,"Many people who have traumatic brain injury (TBI) have low levels of physical fitness. Low physical fitness causes severe fatigue that reduces the ability to perform routine daily activities, and may also cause increased depression, anxiety, or sadness. Aerobic exercise, such as treadmill walking or running, improves physical fitness in most people and may also decrease fatigue and improve mood. However, more information is needed to determine if exercise improves these conditions in people who have TBI.",Completed,"[{'role': 'Primary Principal Investigator', 'fullName': 'Leighton  Chan', 'email': 'chanle@cc.nih.gov', 'orgName': 'National Institutes of Health Clinical Center'}, {'role': 'Data Manager', 'fullName': 'Meg\t\t  Mersha', 'email': 'megdelawit.mersha.ctr@usuhs.edu', 'orgName': 'National Institutes of Health Clinical Center'}]","[{'siteName': 'National Institutes of Health Clinical Center', 'address': '9000 Rockville Pike', 'city': 'Bethesda', 'phoneNumber': '', 'isPrimary': True}]",['NCT01294332'],[],CNRM,[],[],['Clinical Assessment'],"""This study requires 4 testing visits and 36 exercise visits over 14 weeks.
The first and third testing visits will last about 4 hours and the second and final testing visits will take about 2 hours.
Testing visits will consist of a medical history and physical examination, completion of questionnaires (about fatigue, daily physical activity, sleep quality, mood, and overall quality of life), tests of thinking and a treadmill exercise test.
Participants will have treadmill exercise training 3 days per week for 12 weeks. Each session includes a check-in, warm-up, treadmill walking at the training heart rate, and cool-down. Thirty-two of the sessions will last for about 1 hour, and four of the sessions will include questionnaires to fill out and will last about one-and-a-half hours.
After completing the exercise training program, participants will have a final testing visit to complete the questionnaires (about fatigue, daily physical activity, sleep quality, mood, and overall quality of life), tests of thinking and a treadmill exercise test.""
",2012-09-20,2013-09-13,,10.23718/FITBIR/1503316,
Public,217,The Impact of Concussive and Sub-Concussive Blows on Brain Network Activity,FITBIR-STUDY0000217,"Other, specify",This investigation will implement a novel evaluation of electroencephalogram (EEG) recordings and standard clinical assessments in high school football athletes to evaluate concussive and sub-concussive impacts. ,Completed,"[{'role': 'Primary Principal Investigator', 'fullName': 'Steven Broglio, PhD', 'email': 'broglio@umich.edu', 'orgName': 'University of Michigan'}, {'role': 'Data Manager', 'fullName': 'Richelle Mayfield', 'email': ' richellm@umich.edu', 'orgName': 'University of Michigan'}, {'role': 'Data Manager', 'fullName': 'Steven  Broglio, PhD', 'email': 'broglio@umich.edu', 'orgName': 'University of Michigan'}]","[{'siteName': 'University of Michigan', 'address': 'School of Kinesiology, 401 Washtenaw Ave, Room 3736 CCRB', 'city': 'Ann Arbor', 'state': 'MI', 'country': 'United States of America', 'phoneNumber': '734-764-9669', 'isPrimary': True}]",[],"['1R15NS081691-01', '3R01NS080648-02S1', '5R01NS080648-02', '5R01NS080648-03', '3R01NS080648-03S1', '2R01NS080648-06', '5R01NS080648-04', '3R01NS080648-04S1', '4R01NS080648-05']",NIH-NINDS,[],[],['Clinical Assessment'],"Aim 1 will examine how pre, mid, and post-season EEG evaluations relate to the frequency and magnitude of head impacts recorded with the Head Impact Telemetry (HIT) System. Aim 2 will evaluate the relationship between post-concussion performance on EEG and standard clinical tests. The outcomes of this study will provide much needed insight into how sub-concussive impacts influence brain function and how clinical assessment tools relate to more sensitive measures of brain function. In addition, undergraduate and graduate athletic training students will have the opportunity to work on high level research and be mentored on biological research careers. ",2013-01-01,2016-08-31,270.0,10.23718/FITBIR/1503322,
Public,219,Phase 2 Pediatric Autologous BMMNC for Severe TBI,FITBIR-STUDY0000219,Clinical Trial,"The effectiveness of autologous BMMNC in  2 doses will be compared to placebo control for the treatment of severe TBI in children.  The primary outcome measure is structural preservation of GM, WM volume by DT-MRI.",Recruiting,"[{'role': 'Primary Principal Investigator', 'fullName': 'Charles J Cox', 'email': 'Charles.S.Cox@uth.tmc.edu', 'orgName': ' '}, {'role': 'Data Manager', 'fullName': 'Charles Cox', 'email': 'Charles.S.Cox@uth.tmc.edu', 'orgName': ' '}]","[{'siteName': 'NIH', 'address': '', 'city': '', 'phoneNumber': '', 'isPrimary': True}]",[],[],NIH-NINDS,[],[],"['Imaging', 'Clinical Assessment']","Aim 1 : Determine the effect of autologous BMMNC on CNS white matter (WM), gray matter (GM) structural preservation. Volumetric and DTMRI will be performed acutely (first clinically stable time point), and at one month, 6 (primary outcome) and 12 months (safety) post-injury. Quantitative indices of both macro- and microscopic integrity (e.g. volume and fractional anisotropy/mean diffusivity) will be evaluated over time and compared to baseline measurements (immediate post- injury) and non-treated controls.

Aim 2 : Determine if autologous BMMNC infusion preserves structural integrity of GM and WM regions of interest [and improves functional and neurocognitive deficits in children after TBI.] We will examine the effect of BMMNC infusion on 1) FA and MD in regions of interest in WM and GM, and 2) specific global, adaptive behavior, psychological health, and neuropsychological outcomes.

Aim 3 : Determine if autologous BMMNC infusion reduces the neuroinflammatory response to TBI. CNS inflammation will be determined by plasma: CSF ratios of albumin (surrogate for micro vascular permeability), IL-1a, IL-4, Tonga, IL-6, and IL-10, measured every 12 hours for the first 7 days post-injury.",2013-01-01,2018-01-01,,10.23718/FITBIR/1518861,
Public,220,Soccer heading: potential for brain injury and opportunities for its mitigation,FITBIR-STUDY0000220,"Other, specify","Traumatic brain injury (TBI) in athletes is a major and increasingly recognized public health problem. The presumed pathologic basis of the injury is multifocal microstructural traumatic axonal injury (TAI), which can be detected in vivo using diffusion tensor MRI (DTI). These structural changes have both short-term and long-term cognitive consequences. Our preliminary studies show that amateur soccer players do head the ball frequently, up to > 5,000 per year, and those who head more than 1,000- 1,500 times per year are at increased risk for structural (TAI) and functional (poorer cognitive performance) changes. Heading exposes the brain to repeated low-level (""subconcussive"") trauma. It is known that multiple head injuries in close succession are associated with worse outcomes. Additional work is needed to define exposure-response relationships for soccer heading, the time course for the onset and recovery from these structural and functional effects and particularly vulnerable populations. Herein, we use 3 integrated study designs to determine the influence of heading on brain structure and function. In a cross-sectional study (Aim 1), we assess the relationship of heading over the previous year to structural (TAI) and functional (cognition and post-concussion symptoms (PCS)) measures in a large sample (n=400) of amateur soccer players. To assess causality, we propose a longitudinal study to investigate the incremental effects of heading on changes in TAI, cognition and PCS over 2 years of follow-up (Aim 2). To assess the short-term relationship between heading and day-to-day variability in cognitive function and PCS as well as the predictive value of intensive measurement, we will assess heading, cognition and PCS on a daily basis for 14 days every 3 months using a hand-held device in a substudy of 100 players. We will also assess a number of potential modifiers of the association between heading and brain structure and function (e.g., Apolipoprotein E4 genotype). ",Recruiting,"[{'role': 'Data Manager', 'fullName': 'Priyanka Srinivasan', 'email': 'priyanka.srinivasan@einstein.yu.edu', 'orgName': 'Albert Einstein College of Medicine'}, {'role': 'Data Manager', 'fullName': 'Allan Spielman', 'email': 'allan.spielman@einstein.yu.edu', 'orgName': 'Albert Einstein College of Medicine'}, {'role': 'Primary Principal Investigator', 'fullName': 'Michael Lipton, MD', 'email': 'michael.lipton@einstein.yu.edu', 'orgName': 'Albert Einstein College of Medicine'}]","[{'siteName': 'Albert Einstein College of Medicine of Yeshiva University', 'address': 'Gruss 211, 1300 Morris Park Avenue', 'city': 'Bronx', 'state': 'NY', 'country': 'United States of America', 'phoneNumber': '718-430-2416', 'isPrimary': True}]",[],"['3R01NS082432-02S1', '5R01NS082432-06', '3R01NS082432-03S1', '3R01NS082432-01S1', '3R01NS082432-02S2', '1R01NS082432-01', '6R01NS082432-04', '5R01NS082432-02', '5R01NS082432-05']",NIH-NINDS,['soccer'],[],"['Imaging', 'Clinical Assessment']","Specific Aims: Aim I (Cross-sectional): Determine the relationship of heading exposure to MRI evidence of traumatic axonal injury (TAI), cognitive function and post concussion symptoms (PCS). Aim II (Longitudinal): Determine the longitudinal relationships between heading and incremental changes in TAI, cognitive function, and PCS in a prospective study. Aim III (Intensive measurement): Determine the short-term effects on and variability in day-to-day cognitive function and PCS using an intensive measurement design.",2013-02-01,2018-01-31,,10.23718/FITBIR/1518829,
Public,226,Quantitative MRI and 1H MRS in Traumatic Brain Injury,FITBIR-STUDY0000226,Natural History,"Mild traumatic brain injury (MTBI) also known as concussion is a major public health problem with close to 1.5 million cases a year that can result in long-term complications including Post-Concussive Syndrome and Chronic Traumatic Encephalopathy. Concerns such as these have brought MTBI to public attention. There is evidence from our group and others that even a single concussive episode can cause long-term changes in the brain that can be visualized by Magnetic Resonance Imaging (MRI).
Brain iron is highly regulated and has been shown to be abnormal after traumatic brain injury in both animal
and human studies. Though iron is essential for a number of normal cellular processes, it is also implicated in a number of neurodegenerative disorders as causing toxicity to the brain via the production of oxygen free radicals. Abnormal iron in the brain associated with traumatic brain injury may be a link between trauma and a host of neurodegenerative conditions which have been associated with trauma, including Chronic Traumatic Encephalopathy and Alzheimer's Disease. We propose to use MRI, including a novel technique called Magnetic Field Correlation, to quantify regional brain iron in vivo after a single concussive episode and to follow changes in brain iron over time. This application has a translational focus and we will study the relationship between brain iron and long-term changes in brain structure as well as the predictive value of brain iron in determining functional changes in the brain and clinical outcome. Identifying and understanding secondary injury such as toxicity from abnormal brain iron is a critical next step in the study of MTBI. Secondary injury cascades can potentially be slowed or stopped and, as such, are excellent potential targets for future development of therapy. The primary long-term objective
of this application is to examine the role of brain iron in MTBI using MRI. If successful, this work would open up avenues for potential treatment.",Completed,"[{'role': 'Primary Principal Investigator', 'fullName': 'Yvonne Lui, MD', 'email': 'yvonne.lui@nyumc.org', 'orgName': 'New York University School of Medicine'}, {'role': 'Data Manager', 'fullName': 'Charles Morton', 'email': 'Charles.Morton@nyumc.org', 'orgName': 'New York University School of Medicine'}]","[{'siteName': 'New York University School of Medicine', 'address': 'Department of Radiology, 660 First Avenue, 2nd floor, Room 229', 'city': 'New York', 'state': 'NY', 'country': 'United States of America', 'phoneNumber': '212-263-5219', 'isPrimary': True}]",[],"['5R01NS039135-13', '5R01NS039135-10', '2R01NS039135-11A1', '5R01NS039135-12', '3R01NS039135-13S1', '5R01NS039135-15', '4R01NS039135-14']",NIH-NINDS,"['modTBI', 'MRI', 'mTBI']",[],"['Imaging', 'Clinical Assessment']",The primary long-term objective of this application is to examine the role of brain iron in MTBI using MRI.,2017-06-01,2018-05-31,273.0,10.23718/FITBIR/1518856,
Public,227,CTE and Posttraumatic Neurodegeneration: Neuropathology and Ex Vivo Imaging (UNITE),FITBIR-STUDY0000227,Prospective; Retrospective,"Traumatic brain injury (TBI) is associated clinically with progressive cognitive decline and dementia and pathologically with axonal injury and the deposition of multiple aggregated proteins. Repetitive mild TBI can trigger chronic traumatic encephalopathy (CTE), a unique tauopathy, and single TBI can provoke an Alzheimer's-like neurodegeneration. Unfortunately, the only way to diagnose these posttraumatic neurodegenerations, including CTE, is by post-mortem brain examination. In order to conduct prospective research into the incidence, prevalence, risk factors, clinical course, and ultimately, treatment for posttraumatic neurodegeneration, consensus criteria for diagnosis as well as objective biomarkers for disease must first be established. This initiative will assemble a multicenter team of expert neuroscientists to evaluate the late effects of TBI, including single and repetitive TBI of varying severity, and CTE, using histological examination of postmortem biospecimens and neuroimaging tools as a foundation to develop in vivo diagnostics. As a first aim, this proposal will bring together a team of 5 accomplished neuropathologists in neurodegenerative disease to establish consensus criteria for the post-mortem diagnosis of CTE. This team will also define the stages of CTE pathology, the features that differentiate CTE from other neurodegenerations and the effects of substance abuse, and the characteristics of posttraumatic neurodegeneration after single TBI. As a second aim, this proposal will establish a national biospecimen and data bank for TBI (Understanding Neurological Injury and Traumatic Encephalopathy (UNITE) biobank) by developing a nationwide brain donor registry and hotline to acquire high quality biospecimens and data. The UNITE bank will use strictly standardized protocols and a web-based interface to ensure that tissue and data are readily available to qualified investigators. Comprehensive retrospective clinical data including clinical symptoms, brain trauma and substance abuse history, and medical records (including common data elements) will be entered into a secure database. Behavioral/ mood dysfunction, cognitive changes, substance abuse and traumatic exposure will be correlated with quantitative assessment of the multifocal tauopathy, A? deposition and axonal injury. As a third aim, neuroimaging signatures of the neuropathology will be determined in post-mortem tissue using high spatial resolution diffusion tensor imaging (DTI) and autoradiography using a highly selective PET ligand for tau. Quantitative assessment of axonal injury, tau, and A? will be correlated with ex vivo DTI abnormalities and tau ligand autoradiography. Pilot neuroimaging studies of individuals at high risk for the development of CTE will also be conducted in the final 2 years of the proposal. This proposal will determine the clinical and neuroimaging correlates of CTE and posttraumatic neurodegeneration and create the groundwork for establishing their incidence and prevalence. This study will have a tremendous impact on public health of millions of Americans and greatly increase our understanding of the latent effects of brain trauma.",Completed,"[{'role': 'Data Manager', 'fullName': 'Lauren Murphy', 'email': 'lmurphy@bu.edu', 'orgName': 'Boston University School of Medicine'}, {'role': 'Primary Principal Investigator', 'fullName': 'Ann C McKee, MD', 'email': 'amckee@bu.edu', 'orgName': 'Boston University School of Medicine'}, {'role': 'Data Manager', 'fullName': 'Emmanuel Ojo', 'email': 'eadewumi@bu.edu', 'orgName': 'Boston University School of Medicine'}]","[{'siteName': 'Boston University School of Medicine', 'address': 'Bedford VAMC, 200 Springs Road, 182-B', 'city': 'Bedford', 'state': 'MA', 'country': 'United States of America', 'phoneNumber': '781-687-2913', 'isPrimary': True}]",[],"['5U01NS086659-04', '1U01NS086659-01', '5U01NS086659-02', '5U01NS086659-03', '3U01NS086659-03S1']",NIH-NINDS,[],[],['Clinical Assessment'],"Establish consensus criteria for the pathological diagnosis of CTE to differentiate it from other neurodegenerative diseases;
Establish a nationwide brain donation program for TBI;
Examine the relationship between cumulative brain trauma, clinical symptoms, substance abuse, & rigorous quantitative regional assessment of tau, A?, & axonal pathology in CTE and sTBI;
Determine the neuroimaging signatures of CTE neuropathology.
",2014-01-01,2017-12-31,,10.23718/FITBIR/1518846,
Public,228,Imaging and Biomarkers in Adolescents Cleared for Return to Play After Concussion,FITBIR-STUDY0000228,"Other, specify","This prospective, observational study addresses the overarching hypothesis that brain dysfunction and structural injury are present at one month post- sports concussion (SC) in asymptomatic high school athletes who have been cleared by a licensed health provider (LHP) for return to play (RTP). We hypothesize that a biomarker measured from serum on the day of recruitment is prognostic of recovery by one month post-SC. High school athletes will be recruited within three days post-SC (n=24) from consecutive referrals to Memorial Hermann Sports Medicine Clinic in Houston. A comparison group of 24 high school athletes with orthopedic injury (OI) will also be recruited. Weekly assessment via telephone of post-concussion symptoms will identify athletes who are asymptomatic by one month and cleared for RTP. At one month post-injury both groups will return to clinic for neurobehavioral assessment, magnetic resonance imaging (MRI), diffusion tensor imaging (DTI) and resting state functional magnetic resonance imaging to measure functional connectivity (FC) of brain regions. Data analysis will test between-group differences in integrity of white matter tracts (DTI) and FC of brain regions. Biomarker levels will be analyzed in relation to brain imaging and neurobehavioral recovery at one month in SC group.",Recruiting,"[{'role': 'Primary Principal Investigator', 'fullName': 'Harvey Levin, PhD', 'email': 'hlevin@bcm.edu', 'orgName': 'Baylor College of Medicine'}, {'role': 'Data Manager', 'fullName': 'Ashley Ware', 'email': 'Ashley.Ware@bcm.edu', 'orgName': 'Baylor College of Medicine'}]","[{'siteName': 'Baylor College of Medicine', 'address': 'Department of Physical Medicine and Rehabilitation, 1 Baylor Plaza', 'city': 'Houston', 'state': 'TX', 'country': 'United States of America', 'phoneNumber': '7137987566', 'isPrimary': True}]",[],"['1R21NS086714-01', '5R21NS086714-02', '3R21NS086714-02S1', '3R21NS086714-01S1']",NIH-NINDS,['observational'],[],"['Imaging', 'Clinical Assessment']",,2014-01-01,2015-12-31,48.0,10.23718/FITBIR/1518884,
Public,230,Addition of Pediatric TBI Data to FITBIR:  Child Health After Injury (CHAI) study,FITBIR-STUDY0000230,Natural History,"The Child Health After Injury (CHAI) study was funded by the CDC (9/2006 to 8/2012) to determine the population-based rates of disability after traumatic brain injury (TBI) to children and adolescents. This study was one of the largest prospective longitudinal studies on pediatric TBI, had outstanding follow-up over three years, included controls, provided a comprehensive examination of functional outcomes after TBI and collected a wealth of clean and validated data. These high quality data are currently available to be entered into the Federal Interagency Traumatic Brain Injury Research (FITBIR) database and combined with other existing or future pediatric data to advance the field of pediatric TBI research. There are still a number of questions which could be explored using these legacy data in combination with other pediatric TBI data to be entered into FITBIR. Specifically, the legacy CHAI data would be available for use to study: 1. Effects of treatment on 1, 2 and 3 year outcomes after moderate or severe TBI 2. Effects of TBI and its treatment on school outcomes 3. Comparison of adolescent reported functional outcomes after pediatric TBI to parent reported outcomes 4. Comparison of outcomes after TBI in children < 5 years due to abuse with that due to unintentional mechanisms 5. Comparison of outcomes after TBI in children at different ages as well as to adults.",Completed,"[{'role': 'Data Manager', 'fullName': 'Marni Levy', 'email': 'barni@uw.edu', 'orgName': 'University of Washington'}, {'role': 'Primary Principal Investigator', 'fullName': 'Frederick P Rivara, MD, MPH', 'email': 'fpr@uw.edu', 'orgName': 'University of Washington'}]","[{'siteName': 'UNIVERSITY OF WASHINGTON', 'address': 'HARBORVIEW MEDICAL CENTER , INJURY PREVENTION & RESEARCH CTR', 'city': 'Seattle', 'state': 'WA', 'country': 'United States of America', 'phoneNumber': '', 'isPrimary': True}]",[],['1R03NS087984-01'],NIH-NINDS,[],[],['Clinical Assessment'],1. Map the CHAI data into the common data elements (CDE) in FTBIR 2. Provide additional pediatric TBI data not in CDE but which may be helpful to future pediatric TBI studies 3. Deliver the reformatted CHAI data into FITBIR,2014-04-01,2016-03-31,926.0,10.23718/FITBIR/1503313,
Public,231,Approaches and Decisions in Acute Pediatric TBI Trial (ADAPT),FITBIR-STUDY0000231,"Other, specify","Traumatic brain injury (TBI) is the leading killer of children with over 7000 deaths reported in the US in 2005. In addition to this loss of life, the yearly costs of TBI on the health and welfare of children in the US is over $2 billion for acute care along and more than a million life-years are potentially at risk. Advances in care for children with severe TBI have been disappointingly slow. Randomized controlled trials (RCTs) of novel therapeutic agents and approaches have universally failed when applied in multiple centers. Evidenced-based guidelines are not sufficiently robust to generate meaningful recommendations because the literature has failed to demonstrate best practices for most aspects of TBI care. Variations in practices such as intracranial hypertension control, mitigation of secondary insults and metabolic support are substantial in contemporary clinical practice, leading to wide variations in patient outcomes and may ultimately overwhelm treatment effects that might be observed in a well-designed RCT. We propose an observational cohort study of 1000 children with severe TBI to compare the effectiveness of pediatric TBI therapies within an international consortium from the US, UK and EU. We will test 3 specific aims that encompass a total of 6 TBI therapies - (i) intracranial hypertension strategies - cerebrospinal fluid diversion and hyperosmolar therapies; (ii) secondary insult detection - prophylactic hyperventilation and brain tissue oxygen monitoring (PbO2); (iii) metabolic support - nutritional support and glucose management. Several statistical approaches, often used in comparative effectiveness research (CER) to control for confounders, will be employed including propensity score adjustments, regression analyses and novel statistical modeling. Successful completion of this proposal would provide compelling evidence to change clinical practices, provide evidence for several new recommendations for future guidelines and lead to improved research protocols that would be limit variability in TBI treatments - helping children immediately through better clinical practices and ultimately through more effective investigation.",Recruiting,"[{'role': 'Primary Principal Investigator', 'fullName': 'Stephen Wisniewski, PhD', 'email': 'wisniew@edc.pitt.edu', 'orgName': 'University of Pittsburgh'}, {'role': 'Principal Investigator', 'fullName': 'Courtney Robertson, MD', 'email': 'crober48@jhmi.edu', 'orgName': 'John Hopkins Children’s Center of Baltimore, MD '}, {'role': 'Principal Investigator', 'fullName': 'Kerri LaRovere, MD', 'email': 'kerri.larovere@childrens.harvard.edu', 'orgName': ""Boston Children's Hospital, Harvard University""}, {'role': 'Principal Investigator', 'fullName': 'Karen Walson, MD', 'email': 'karen.walson@choa.org', 'orgName': 'Children’s Healthcare of Atlanta'}, {'role': 'Principal Investigator', 'fullName': 'Mela Benbea, MD,MPH,PhD', 'email': 'mbembea1@jhmi.edu', 'orgName': 'John Hopkins Children’s Center of Baltimore, '}, {'role': 'Data Manager', 'fullName': 'Laurie Silfies', 'email': 'silfiesl@edc.pitt.edu', 'orgName': 'University of Pittsburgh'}, {'role': 'Principal Investigator', 'fullName': 'Michael Bell, MD', 'email': 'bellmj4@upmc.edu', 'orgName': 'University of Pittsburgh'}, {'role': 'Principal Investigator', 'fullName': 'Ajit Sarnaik, MD', 'email': 'asarnai@med.wayne.edu', 'orgName': 'Wayne State University in Detroit, Children’s Hospital of Michigan'}]","[{'siteName': 'University of Pittsburgh ', 'address': '', 'city': 'Pittsburgh ', 'state': 'PA', 'country': 'United States of America', 'phoneNumber': '', 'isPrimary': True}]",[],"['1U01NS081041-01A1', '5U01NS081041-02', '5U01NS081041-03', '4U01NS081041-04', '3U01NS081041-04S1', '3U01NS081041-03S1', '7U01NS081041-05']",NIH-NINDS,[],[],"['Imaging', 'Clinical Assessment']","Specific Aim 1: Compare the effectiveness of first-line intracranial hypertension strategies.

Specific Aim 2: Compare the effectiveness of strategies that mitigate iatrogenic ischemia and hypoxia.

Specific Aim 3: Compare the effectiveness of strategies that provide metabolic support on outcome.",2013-07-01,2018-06-30,,10.23718/FITBIR/1518848,
Public,234,Advanced Imaging Acquisition and Data Analysis for a Military TBI Neuroimaging Database at NICoE,FITBIR-STUDY0000234,"Other, specify","Uploading legacy clinical neuroimaging and neuropsych data from the National Intrepid Center of Excellence to FITBIR: This project establishes an accessible centralized location for legacy neuroimaging, neuropsychiatric, self-reported and demographics data from a unique military TBI population, establishing a methodology for continued data submission to FITBIR.

The National Intrepid Center of Excellence (NICoE) is an institute that generates clinical knowledge, improves diagnosis and advances treatment related to the pathophysiological and natural history of comorbid mild traumatic brain injury and psychological health conditions.","Active, Not Recruiting","[{'role': 'Primary Principal Investigator', 'fullName': 'John M Ollinger, DSc', 'email': 'john.m.ollinger.civ@health.mil', 'orgName': 'Walter Reed National Military Medical System', 'orcId': '0000-0002-2780-9454'}, {'role': 'Data Manager', 'fullName': 'Chihwa Song', 'email': 'chihwas@gmail.com\t', 'orgName': 'NIH, WRNMMC, DOD'}]","[{'siteName': 'The National Intrepid Center of Excellence (NICoE)', 'address': '4860 South Palmer Road', 'city': 'Bethesda', 'state': 'MD', 'country': 'United States of America', 'phoneNumber': '', 'isPrimary': True}]",[],[],DoD-MRDC,"['DoD', 'fMRI', 'military', 'TBI', 'PTSD', 'Neuroimaging', 'mTBI', 'mildTBI', 'PET', 'MRI', 'Concussion', 'DepartmentofDefense']",[],"['Imaging', 'Clinical Assessment']",,2014-05-01,2017-12-23,,10.23718/FITBIR/1518813,5724880.0
